001a,external\ps3\ep1\scene\001a.png
sato2_def1_0,external\ps3\ep5\sprite\sato2_def1_0.png
sato2_def1_1,external\ps3\ep5\sprite\sato2_def1_1.png
sato2_def1_2,external\ps3\ep5\sprite\sato2_def1_2.png
sato2_def2_0,external\ps3\ep5\portrait\sato2_def2_0.png
sato2_def2_1,external\ps3\ep5\portrait\sato2_def2_1.png
sato2_def2_2,external\ps3\ep5\portrait\sato2_def2_2.png
sato2_komaru2_0,external\ps3\ep5\sprite\sato2_komaru2_0.png
sato2_komaru2_1,external\ps3\ep5\sprite\sato2_komaru2_1.png
sato2_komaru2_2,external\ps3\ep5\sprite\sato2_komaru2_2.png
sato2_komaru_0,external\ps3\ep5\sprite\sato2_komaru_0.png
sato2_komaru_1,external\ps3\ep5\sprite\sato2_komaru_1.png
sato2_komaru_2,external\ps3\ep5\sprite\sato2_komaru_2.png
sato2_tukare_0,external\ps3\ep5\sprite\sato2_tukare_0.png
sato2_tukare_1,external\ps3\ep5\sprite\sato2_tukare_1.png
sato2_tukare_2,external\ps3\ep5\sprite\sato2_tukare_2.png
sato2_warai_0,external\ps3\ep5\sprite\sato2_warai_0.png
sato2_warai_1,external\ps3\ep5\sprite\sato2_warai_1.png
sato2_warai_2,external\ps3\ep5\sprite\sato2_warai_2.png
scenario_a,external\ps3\ep2\scenario_a.png
scenario_b,external\ps3\ep1\scenario_b.png
scenario_b_j,external\ps3\ep1\scenario_b_j.png
scenario_c,external\ps3\ep1\scenario_c.png
scenario_c_j,external\ps3\ep1\scenario_c_j.png
scenario_t,external\ps3\ep6\scenario_t.png
sgtitle900000,external\ps3\ep5\sgtitle900000.png
sgtitle900100,external\ps3\ep5\sgtitle900100.png
sgtitle900200,external\ps3\ep5\sgtitle900200.png
shortcuts,external\ps3\ep1\scenario\shortcuts.png
shortcuts_j,external\ps3\ep1\scenario\shortcuts_j.png
si1a_akuwarai_a1_0,external\ps3\ep2\portrait\si1a_akuwarai_a1_0.png
si1a_akuwarai_a1_1,external\ps3\ep2\portrait\si1a_akuwarai_a1_1.png
si1a_akuwarai_a1_2,external\ps3\ep2\portrait\si1a_akuwarai_a1_2.png
si1a_def_a1_0,external\ps3\ep2\portrait\si1a_def_a1_0.png
si1a_def_a1_1,external\ps3\ep2\portrait\si1a_def_a1_1.png
si1a_def_a1_2,external\ps3\ep2\portrait\si1a_def_a1_2.png
si1a_hau_a1_0,external\ps3\ep2\sprite\si1a_hau_a1_0.png
si1a_hau_a1_1,external\ps3\ep2\sprite\si1a_hau_a1_1.png
si1a_hau_a1_2,external\ps3\ep2\sprite\si1a_hau_a1_2.png
si1a_huteki_a1_0,external\ps3\ep2\sprite\si1a_huteki_a1_0.png
si1a_huteki_a1_1,external\ps3\ep2\sprite\si1a_huteki_a1_1.png
si1a_huteki_a1_2,external\ps3\ep2\sprite\si1a_huteki_a1_2.png
si1a_ikari_a1_0,external\ps3\ep2\sprite\si1a_ikari_a1_0.png
si1a_ikari_a1_1,external\ps3\ep2\sprite\si1a_ikari_a1_1.png
si1a_ikari_a1_2,external\ps3\ep2\sprite\si1a_ikari_a1_2.png
si1a_majime_a1_0,external\ps3\ep2\sprite\si1a_majime_a1_0.png
si1a_majime_a1_1,external\ps3\ep2\sprite\si1a_majime_a1_1.png
si1a_majime_a1_2,external\ps3\ep2\sprite\si1a_majime_a1_2.png
si1a_odoroki_a1_0,external\ps3\ep2\portrait\si1a_odoroki_a1_0.png
si1a_odoroki_a1_1,external\ps3\ep2\portrait\si1a_odoroki_a1_1.png
si1a_odoroki_a1_2,external\ps3\ep2\portrait\si1a_odoroki_a1_2.png
si1a_tohoho_a1_0,external\ps3\ep3\sprite\si1a_tohoho_a1_0.png
si1a_tohoho_a1_1,external\ps3\ep3\sprite\si1a_tohoho_a1_1.png
si1a_tohoho_a1_2,external\ps3\ep3\sprite\si1a_tohoho_a1_2.png
si1a_tokui_a1_0,external\ps3\ep3\sprite\si1a_tokui_a1_0.png
si1a_tokui_a1_1,external\ps3\ep3\sprite\si1a_tokui_a1_1.png
si1a_tokui_a1_2,external\ps3\ep3\sprite\si1a_tokui_a1_2.png
si1a_warai_a1_0,external\ps3\ep2\portrait\si1a_warai_a1_0.png
si1a_warai_a1_1,external\ps3\ep2\portrait\si1a_warai_a1_1.png
si1a_warai_a1_2,external\ps3\ep2\portrait\si1a_warai_a1_2.png
si1a_wink_a1_0,external\ps3\ep2\portrait\si1a_wink_a1_0.png
si1a_wink_a1_1,external\ps3\ep2\portrait\si1a_wink_a1_1.png
si1a_wink_a1_2,external\ps3\ep2\portrait\si1a_wink_a1_2.png
si1a_yowaki_a1_0,external\ps3\ep2\sprite\si1a_yowaki_a1_0.png
si1a_yowaki_a1_1,external\ps3\ep2\sprite\si1a_yowaki_a1_1.png
si1a_yowaki_a1_2,external\ps3\ep2\sprite\si1a_yowaki_a1_2.png
si1b_akuwarai_b1_0,external\ps3\ep2\sprite\si1b_akuwarai_b1_0.png
si1b_akuwarai_b1_1,external\ps3\ep2\sprite\si1b_akuwarai_b1_1.png
si1b_akuwarai_b1_2,external\ps3\ep2\sprite\si1b_akuwarai_b1_2.png
si1b_def_b1_0,external\ps3\ep2\portrait\si1b_def_b1_0.png
si1b_def_b1_1,external\ps3\ep2\portrait\si1b_def_b1_1.png
si1b_def_b1_2,external\ps3\ep2\portrait\si1b_def_b1_2.png
si1b_hau_b1_0,external\ps3\ep2\sprite\si1b_hau_b1_0.png
si1b_hau_b1_1,external\ps3\ep2\sprite\si1b_hau_b1_1.png
si1b_hau_b1_2,external\ps3\ep2\sprite\si1b_hau_b1_2.png
si1b_huteki_b1_0,external\ps3\ep2\sprite\si1b_huteki_b1_0.png
si1b_huteki_b1_1,external\ps3\ep2\sprite\si1b_huteki_b1_1.png
si1b_huteki_b1_2,external\ps3\ep2\sprite\si1b_huteki_b1_2.png
si1b_majime_b1_0,external\ps3\ep8\sprite\si1b_majime_b1_0.png
si1b_majime_b1_1,external\ps3\ep8\sprite\si1b_majime_b1_1.png
si1b_majime_b1_2,external\ps3\ep8\sprite\si1b_majime_b1_2.png
si1b_odoroki_b1_0,external\ps3\ep8\sprite\si1b_odoroki_b1_0.png
si1b_odoroki_b1_1,external\ps3\ep8\sprite\si1b_odoroki_b1_1.png
si1b_odoroki_b1_2,external\ps3\ep8\sprite\si1b_odoroki_b1_2.png
si1b_tohoho_b1_0,external\ps3\ep8\sprite\si1b_tohoho_b1_0.png
si1b_tohoho_b1_1,external\ps3\ep8\sprite\si1b_tohoho_b1_1.png
si1b_tohoho_b1_2,external\ps3\ep8\sprite\si1b_tohoho_b1_2.png
si1b_tokui_b1_0,external\ps3\ep2\sprite\si1b_tokui_b1_0.png
si1b_tokui_b1_1,external\ps3\ep2\sprite\si1b_tokui_b1_1.png
si1b_tokui_b1_2,external\ps3\ep2\sprite\si1b_tokui_b1_2.png
si1b_warai_b1_0,external\ps3\ep2\sprite\si1b_warai_b1_0.png
si1b_warai_b1_1,external\ps3\ep2\sprite\si1b_warai_b1_1.png
si1b_warai_b1_2,external\ps3\ep2\sprite\si1b_warai_b1_2.png
si1b_wink_b1_0,external\ps3\ep2\portrait\si1b_wink_b1_0.png
si1b_wink_b1_1,external\ps3\ep2\portrait\si1b_wink_b1_1.png
si1b_wink_b1_2,external\ps3\ep2\portrait\si1b_wink_b1_2.png
si2_akuwarai_a1_0,external\ps3\ep2\sprite\si2_akuwarai_a1_0.png
si2_akuwarai_a1_1,external\ps3\ep2\sprite\si2_akuwarai_a1_1.png
si2_akuwarai_a1_2,external\ps3\ep2\sprite\si2_akuwarai_a1_2.png
si2_def_a1_0,external\ps3\ep2\sprite\si2_def_a1_0.png
si2_def_a1_1,external\ps3\ep2\sprite\si2_def_a1_1.png
si2_def_a1_2,external\ps3\ep2\sprite\si2_def_a1_2.png
si2_hau_a1_0,external\ps3\ep2\sprite\si2_hau_a1_0.png
si2_hau_a1_1,external\ps3\ep2\sprite\si2_hau_a1_1.png
si2_hau_a1_2,external\ps3\ep2\sprite\si2_hau_a1_2.png
si2_huteki_a1_0,external\ps3\ep2\sprite\si2_huteki_a1_0.png
si2_huteki_a1_1,external\ps3\ep2\sprite\si2_huteki_a1_1.png
si2_huteki_a1_2,external\ps3\ep2\sprite\si2_huteki_a1_2.png
si2_majime_a1_0,external\ps3\ep2\sprite\si2_majime_a1_0.png
si2_majime_a1_1,external\ps3\ep2\sprite\si2_majime_a1_1.png
si2_majime_a1_2,external\ps3\ep2\sprite\si2_majime_a1_2.png
si2_odoroki_a1_0,external\ps3\ep2\sprite\si2_odoroki_a1_0.png
si2_odoroki_a1_1,external\ps3\ep2\sprite\si2_odoroki_a1_1.png
si2_odoroki_a1_2,external\ps3\ep2\sprite\si2_odoroki_a1_2.png
si2_tokui_a1_0,external\ps3\ep2\sprite\si2_tokui_a1_0.png
si2_tokui_a1_1,external\ps3\ep2\sprite\si2_tokui_a1_1.png
si2_tokui_a1_2,external\ps3\ep2\sprite\si2_tokui_a1_2.png
si2_warai_a1_0,external\ps3\ep2\sprite\si2_warai_a1_0.png
si2_warai_a1_1,external\ps3\ep2\sprite\si2_warai_a1_1.png
si2_warai_a1_2,external\ps3\ep2\sprite\si2_warai_a1_2.png
si2_wink_a1_0,external\ps3\ep2\sprite\si2_wink_a1_0.png
si2_wink_a1_1,external\ps3\ep2\sprite\si2_wink_a1_1.png
si2_wink_a1_2,external\ps3\ep2\sprite\si2_wink_a1_2.png
si2_yowaki_a1_0,external\ps3\ep2\sprite\si2_yowaki_a1_0.png
si2_yowaki_a1_1,external\ps3\ep2\sprite\si2_yowaki_a1_1.png
si2_yowaki_a1_2,external\ps3\ep2\sprite\si2_yowaki_a1_2.png
si3_akuwarai_a1_0,external\ps3\ep5\sprite\si3_akuwarai_a1_0.png
si3_akuwarai_a1_1,external\ps3\ep5\sprite\si3_akuwarai_a1_1.png
si3_akuwarai_a1_2,external\ps3\ep5\sprite\si3_akuwarai_a1_2.png
si3_def_a1_0,external\ps3\ep5\sprite\si3_def_a1_0.png
si3_def_a1_1,external\ps3\ep5\sprite\si3_def_a1_1.png
si3_def_a1_2,external\ps3\ep5\sprite\si3_def_a1_2.png
si3_huteki_a1_0,external\ps3\ep7\sprite\si3_huteki_a1_0.png
si3_huteki_a1_1,external\ps3\ep7\sprite\si3_huteki_a1_1.png
si3_huteki_a1_2,external\ps3\ep7\sprite\si3_huteki_a1_2.png
si3_ikari_a1_0,external\ps3\ep7\sprite\si3_ikari_a1_0.png
si3_ikari_a1_1,external\ps3\ep7\sprite\si3_ikari_a1_1.png
si3_ikari_a1_2,external\ps3\ep7\sprite\si3_ikari_a1_2.png
si3_majime_a1_0,external\ps3\ep7\sprite\si3_majime_a1_0.png
si3_majime_a1_1,external\ps3\ep7\sprite\si3_majime_a1_1.png
si3_majime_a1_2,external\ps3\ep7\sprite\si3_majime_a1_2.png
si3_odoroki_a1_0,external\ps3\ep7\sprite\si3_odoroki_a1_0.png
si3_odoroki_a1_1,external\ps3\ep7\sprite\si3_odoroki_a1_1.png
si3_odoroki_a1_2,external\ps3\ep7\sprite\si3_odoroki_a1_2.png
si3_tohoho_a1_0,external\ps3\ep7\sprite\si3_tohoho_a1_0.png
si3_tohoho_a1_1,external\ps3\ep7\sprite\si3_tohoho_a1_1.png
si3_tohoho_a1_2,external\ps3\ep7\sprite\si3_tohoho_a1_2.png
si3_tokui_a1_0,external\ps3\ep5\sprite\si3_tokui_a1_0.png
si3_tokui_a1_1,external\ps3\ep5\sprite\si3_tokui_a1_1.png
si3_tokui_a1_2,external\ps3\ep5\sprite\si3_tokui_a1_2.png
si3_warai_a1_0,external\ps3\ep5\sprite\si3_warai_a1_0.png
si3_warai_a1_1,external\ps3\ep5\sprite\si3_warai_a1_1.png
si3_warai_a1_2,external\ps3\ep5\sprite\si3_warai_a1_2.png
si3_wink_a1_0,external\ps3\ep5\sprite\si3_wink_a1_0.png
si3_wink_a1_1,external\ps3\ep5\sprite\si3_wink_a1_1.png
si3_wink_a1_2,external\ps3\ep5\sprite\si3_wink_a1_2.png
si3_yowaki_a1_0,external\ps3\ep7\sprite\si3_yowaki_a1_0.png
si3_yowaki_a1_1,external\ps3\ep7\sprite\si3_yowaki_a1_1.png
si3_yowaki_a1_2,external\ps3\ep7\sprite\si3_yowaki_a1_2.png
si_g1,external\ps3\ep5\background\si_g1.png
si_h2,external\ps3\ep5\background\si_h2.png
si_h2_01,external\ps3\ep5\background\si_h2_01.png
si_h3,external\ps3\ep5\background\si_h3.png
si_h6,external\ps3\ep5\background\si_h6.png
si_himatsubushi,external\ps3\ep4\text\si_himatsubushi.png
si_himatsubushi_j,external\ps3\ep4\text\si_himatsubushi_j.png
si_himatsubusi,external\ps3\ep4\text\si_himatsubusi.png
si_himatsubusi_j,external\ps3\ep4\text\si_himatsubusi_j.png
si_himatubusi,external\ps3\ep4\text\si_himatubusi.png
si_himatubusi_j,external\ps3\ep4\text\si_himatubusi_j.png
si_mansion,external\ps3\ep5\background\si_mansion.png
si_matsuri_01,external\ps3\ep8\text\si_matsuri_01.png
si_matsuri_01_j,external\ps3\ep8\text\si_matsuri_01_j.png
si_matsuri_02,external\ps3\ep8\text\si_matsuri_02.png
si_matsuri_02_j,external\ps3\ep8\text\si_matsuri_02_j.png
si_meakasi,external\ps3\ep5\text\si_meakasi.png
si_meakasi_j,external\ps3\ep5\text\si_meakasi_j.png
si_mina_01,external\ps3\ep7\text\si_mina_01.png
si_mina_01_j,external\ps3\ep7\text\si_mina_01_j.png
si_mina_02,external\ps3\ep7\text\si_mina_02.png
si_mina_02_j,external\ps3\ep7\text\si_mina_02_j.png
si_onikakusi,external\ps3\ep1\text\si_onikakusi.png
si_onikakusi_j,external\ps3\ep1\text\si_onikakusi_j.png
si_ta3a_1,external\ps3\ep8\text\si_ta3a_1.png
si_ta3a_1_j,external\ps3\ep8\text\si_ta3a_1_j.png
si_ta3a_2,external\ps3\ep8\text\si_ta3a_2.png
si_ta3a_2_j,external\ps3\ep8\text\si_ta3a_2_j.png
si_ta3a_3,external\ps3\ep8\text\si_ta3a_3.png
si_ta3a_3_j,external\ps3\ep8\text\si_ta3a_3_j.png
si_ta3b_1,external\ps3\ep8\text\si_ta3b_1.png
si_ta3b_1_j,external\ps3\ep8\text\si_ta3b_1_j.png
si_ta3b_2,external\ps3\ep8\text\si_ta3b_2.png
si_ta3b_2_j,external\ps3\ep8\text\si_ta3b_2_j.png
si_ta3b_3,external\ps3\ep8\text\si_ta3b_3.png
si_ta3b_3_j,external\ps3\ep8\text\si_ta3b_3_j.png
si_ta4a,external\ps3\ep8\text\si_ta4a.png
si_ta4a_j,external\ps3\ep8\text\si_ta4a_j.png
si_ta4b,external\ps3\ep8\text\si_ta4b.png
si_ta4b_j,external\ps3\ep8\text\si_ta4b_j.png
si_ta4c,external\ps3\ep8\text\si_ta4c.png
si_ta4c_j,external\ps3\ep8\text\si_ta4c_j.png
si_ta4d,external\ps3\ep8\text\si_ta4d.png
si_ta4d_j,external\ps3\ep8\text\si_ta4d_j.png
si_tatarigoroshi,external\ps3\ep3\text\si_tatarigoroshi.png
si_tatarigoroshi_j,external\ps3\ep3\text\si_tatarigoroshi_j.png
si_tatarigorosi,external\ps3\ep3\text\si_tatarigorosi.png
si_tatarigorosi_j,external\ps3\ep3\text\si_tatarigorosi_j.png
si_tumi,external\ps3\ep6\text\si_tumi.png
si_tumi_j,external\ps3\ep6\text\si_tumi_j.png
si_watanagashi,external\ps3\ep2\text\si_watanagashi.png
si_watanagashi_j,external\ps3\ep2\text\si_watanagashi_j.png
si_watanagasi,external\ps3\ep2\text\si_watanagasi.png
si_watanagasi_j,external\ps3\ep2\text\si_watanagasi_j.png
sil1a,external\ps3\ep2\scene\sil1a.png
sil5,external\ps3\ep8\scene\sil5.png
simen3,external\ps3\ep1\background\simen3.png
sinryou_matiai1,external\ps3\ep1\background\sinryou_matiai1.png
sinryou_matiai1_01,external\ps3\ep4\background\sinryou_matiai1_01.png
sinryou_sinsatu1,external\ps3\ep1\background\sinryou_sinsatu1.png
sinryou_sinsatu1_02,external\ps3\ep3\background\sinryou_sinsatu1_02.png
sinryou_sinsatu2,external\ps3\ep4\background\sinryou_sinsatu2.png
sinryou_sinsatu3,external\ps3\ep7\background\sinryou_sinsatu3.png
sinryou_sinsatu3_01,external\ps3\ep8\background\sinryou_sinsatu3_01.png
sinryou_sinsatu4,external\ps3\ep4\background\sinryou_sinsatu4.png
sinryou_soto1,external\ps3\ep1\background\sinryou_soto1.png
sinryou_soto1_01,external\ps3\ep4\background\sinryou_soto1_01.png
sinryou_soto1_02,external\ps3\ep3\background\sinryou_soto1_02.png
sinryou_soto3,external\ps3\ep1\background\sinryou_soto3.png
sinryou_soto3_01,external\ps3\ep7\background\sinryou_soto3_01.png
so1,external\ps3\ep2\background\so1.png
so1_02,external\ps3\ep3\background\so1_02.png
so2,external\ps3\ep2\background\so2.png
so2_01,external\ps3\ep3\background\so2_01.png
so3,external\ps3\ep2\background\so3.png
so5,external\ps3\ep5\background\so5.png
so6,external\ps3\ep5\background\so6.png
so_chikafuroa,external\ps3\ep2\background\so_chikafuroa.png
so_chikaido1,external\ps3\ep5\background\so_chikaido1.png
so_chikasaishinbu,external\ps3\ep8\background\so_chikasaishinbu.png
so_d1,external\ps3\ep4\background\so_d1.png
so_d1_01,external\ps3\ep4\background\so_d1_01.png
so_g1,external\ps3\ep2\background\so_g1.png
so_k1,external\ps3\ep2\background\so_k1.png
sora,external\ps3\ep2\background\sora.png
sora1,external\ps3\ep1\sora1.png
sora2,external\ps3\ep2\background\sora2.png
sora5,external\ps3\ep1\background\sora5.png
sora6,external\ps3\ep1\background\sora6.png
sora_01,external\ps3\ep2\background\sora_01.png
staff01,external\ps3\ep4\staff01.png
staff02,external\ps3\ep4\staff02.png
staff_maturi1,external\ps3\ep8\text\staff_maturi1.png
staff_maturi1_j,external\ps3\ep8\text\staff_maturi1_j.png
staff_maturi1a,external\ps3\ep8\text\staff_maturi1a.png
staff_maturi1a_j,external\ps3\ep8\text\staff_maturi1a_j.png
staff_maturi1b,external\ps3\ep8\text\staff_maturi1b.png
staff_maturi1b_j,external\ps3\ep8\text\staff_maturi1b_j.png
staff_maturi2,external\ps3\ep8\text\staff_maturi2.png
staff_maturi2_j,external\ps3\ep8\text\staff_maturi2_j.png
staff_mina,external\ps3\ep7\staff_mina.png
staff_mina_j,external\ps3\ep7\staff_mina_j.png
stripes,external\ps3\ep1\scenario\stripes.png
susuki,external\ps3\ep4\background\susuki.png
t_ed,external\ps3\ep3\text\t_ed.png
t_ed_j,external\ps3\ep3\text\t_ed_j.png
t_ep0,external\ps3\ep3\text\t_ep0.png
t_ep0_j,external\ps3\ep3\text\t_ep0_j.png
t_ep1,external\ps3\ep3\text\t_ep1.png
t_ep10,external\ps3\ep3\text\t_ep10.png
t_ep10_j,external\ps3\ep3\text\t_ep10_j.png
t_ep11,external\ps3\ep3\text\t_ep11.png
t_ep11_j,external\ps3\ep3\text\t_ep11_j.png
t_ep12,external\ps3\ep3\text\t_ep12.png
t_ep12_j,external\ps3\ep3\text\t_ep12_j.png
t_ep1_j,external\ps3\ep3\text\t_ep1_j.png
t_ep2,external\ps3\ep3\text\t_ep2.png
t_ep2_j,external\ps3\ep3\text\t_ep2_j.png
t_ep3,external\ps3\ep3\text\t_ep3.png
t_ep3_j,external\ps3\ep3\text\t_ep3_j.png
t_ep4,external\ps3\ep3\text\t_ep4.png
t_ep4_j,external\ps3\ep3\text\t_ep4_j.png
t_ep5,external\ps3\ep3\text\t_ep5.png
t_ep5_j,external\ps3\ep3\text\t_ep5_j.png
t_ep6,external\ps3\ep3\text\t_ep6.png
t_ep6_j,external\ps3\ep3\text\t_ep6_j.png
t_ep7,external\ps3\ep3\text\t_ep7.png
t_ep7_j,external\ps3\ep3\text\t_ep7_j.png
t_ep8,external\ps3\ep3\text\t_ep8.png
t_ep8_j,external\ps3\ep3\text\t_ep8_j.png
t_ep9,external\ps3\ep3\text\t_ep9.png
t_ep9_j,external\ps3\ep3\text\t_ep9_j.png
ta1,external\ps3\ep4\background\ta1.png
ta1_akuwarai_0,external\ps3\ep1\sprite\ta1_akuwarai_0.png
ta1_akuwarai_1,external\ps3\ep1\sprite\ta1_akuwarai_1.png
ta1_akuwarai_2,external\ps3\ep1\sprite\ta1_akuwarai_2.png
ta1_def_0,external\ps3\ep1\sprite\ta1_def_0.png
ta1_def_1,external\ps3\ep1\sprite\ta1_def_1.png
ta1_def_2,external\ps3\ep1\sprite\ta1_def_2.png
ta1_hatena_0,external\ps3\ep2\sprite\ta1_hatena_0.png
ta1_hatena_1,external\ps3\ep2\sprite\ta1_hatena_1.png
ta1_hatena_2,external\ps3\ep2\sprite\ta1_hatena_2.png
ta1_human_0,external\ps3\ep2\sprite\ta1_human_0.png
ta1_human_1,external\ps3\ep2\sprite\ta1_human_1.png
ta1_human_2,external\ps3\ep2\sprite\ta1_human_2.png
ta1_iradachi_0,external\ps3\ep8\portrait\ta1_iradachi_0.png
ta1_iradachi_1,external\ps3\ep8\portrait\ta1_iradachi_1.png
ta1_iradachi_2,external\ps3\ep8\portrait\ta1_iradachi_2.png
ta1_kanashimi_0,external\ps3\ep8\sprite\ta1_kanashimi_0.png
ta1_kanashimi_1,external\ps3\ep8\sprite\ta1_kanashimi_1.png
ta1_kanashimi_2,external\ps3\ep8\sprite\ta1_kanashimi_2.png
ta1_sakebi_0,external\ps3\ep8\portrait\ta1_sakebi_0.png
ta1_sakebi_1,external\ps3\ep8\portrait\ta1_sakebi_1.png
ta1_sakebi_2,external\ps3\ep8\portrait\ta1_sakebi_2.png
ta1_warai_0,external\ps3\ep1\sprite\ta1_warai_0.png
ta1_warai_1,external\ps3\ep1\sprite\ta1_warai_1.png
ta1_warai_2,external\ps3\ep1\sprite\ta1_warai_2.png
ta2,external\ps3\ep4\background\ta2.png
ta2_akuwarai_0,external\ps3\ep7\sprite\ta2_akuwarai_0.png
ta2_akuwarai_1,external\ps3\ep7\sprite\ta2_akuwarai_1.png
ta2_akuwarai_2,external\ps3\ep7\sprite\ta2_akuwarai_2.png
ta2_def_0,external\ps3\ep7\sprite\ta2_def_0.png
ta2_def_1,external\ps3\ep7\sprite\ta2_def_1.png
ta2_def_2,external\ps3\ep7\sprite\ta2_def_2.png
ta2_hatena_0,external\ps3\ep7\sprite\ta2_hatena_0.png
ta2_hatena_1,external\ps3\ep7\sprite\ta2_hatena_1.png
ta2_hatena_2,external\ps3\ep7\sprite\ta2_hatena_2.png
ta2_human_0,external\ps3\ep7\sprite\ta2_human_0.png
ta2_human_1,external\ps3\ep7\sprite\ta2_human_1.png
ta2_human_2,external\ps3\ep7\sprite\ta2_human_2.png
ta2_iradachi_0,external\ps3\ep8\sprite\ta2_iradachi_0.png
ta2_iradachi_1,external\ps3\ep8\sprite\ta2_iradachi_1.png
ta2_iradachi_2,external\ps3\ep8\sprite\ta2_iradachi_2.png
ta2_kanashimi_0,external\ps3\ep8\sprite\ta2_kanashimi_0.png
ta2_kanashimi_1,external\ps3\ep8\sprite\ta2_kanashimi_1.png
ta2_kanashimi_2,external\ps3\ep8\sprite\ta2_kanashimi_2.png
ta2_sakebi_0,external\ps3\ep8\sprite\ta2_sakebi_0.png
ta2_sakebi_1,external\ps3\ep8\sprite\ta2_sakebi_1.png
ta2_sakebi_2,external\ps3\ep8\sprite\ta2_sakebi_2.png
ta2_warai_0,external\ps3\ep7\sprite\ta2_warai_0.png
ta2_warai_1,external\ps3\ep7\sprite\ta2_warai_1.png
ta2_warai_2,external\ps3\ep7\sprite\ta2_warai_2.png
ta3_01,external\ps3\ep8\background\ta3_01.png
ta3_akuwarai_0,external\ps3\ep7\sprite\ta3_akuwarai_0.png
ta3_akuwarai_1,external\ps3\ep7\sprite\ta3_akuwarai_1.png
ta3_akuwarai_2,external\ps3\ep7\sprite\ta3_akuwarai_2.png
ta3_def_0,external\ps3\ep7\sprite\ta3_def_0.png
ta3_def_1,external\ps3\ep7\sprite\ta3_def_1.png
ta3_def_2,external\ps3\ep7\sprite\ta3_def_2.png
ta3_human_0,external\ps3\ep8\sprite\ta3_human_0.png
ta3_human_1,external\ps3\ep8\sprite\ta3_human_1.png
ta3_human_2,external\ps3\ep8\sprite\ta3_human_2.png
ta3_iradachi_0,external\ps3\ep8\sprite\ta3_iradachi_0.png
ta3_iradachi_1,external\ps3\ep8\sprite\ta3_iradachi_1.png
ta3_iradachi_2,external\ps3\ep8\sprite\ta3_iradachi_2.png
ta3_sakebi_0,external\ps3\ep8\sprite\ta3_sakebi_0.png
ta3_sakebi_1,external\ps3\ep8\sprite\ta3_sakebi_1.png
ta3_sakebi_2,external\ps3\ep8\sprite\ta3_sakebi_2.png
ta5_akuwarai_0,external\ps3\ep8\sprite\ta5_akuwarai_0.png
ta5_akuwarai_1,external\ps3\ep8\sprite\ta5_akuwarai_1.png
ta5_akuwarai_2,external\ps3\ep8\sprite\ta5_akuwarai_2.png
ta5_human_0,external\ps3\ep8\sprite\ta5_human_0.png
ta5_human_1,external\ps3\ep8\sprite\ta5_human_1.png
ta5_human_2,external\ps3\ep8\sprite\ta5_human_2.png
ta5_iradachi_0,external\ps3\ep8\sprite\ta5_iradachi_0.png
ta5_iradachi_1,external\ps3\ep8\sprite\ta5_iradachi_1.png
ta5_iradachi_2,external\ps3\ep8\sprite\ta5_iradachi_2.png
ta5_sakebi_0,external\ps3\ep8\sprite\ta5_sakebi_0.png
ta5_sakebi_1,external\ps3\ep8\sprite\ta5_sakebi_1.png
ta5_sakebi_2,external\ps3\ep8\sprite\ta5_sakebi_2.png
ta_tel,external\ps3\ep6\background\ta_tel.png
ta_tel_02,external\ps3\ep8\background\ta_tel_02.png
takano_1,external\ps3\ep7\text\takano_1.png
takano_1_j,external\ps3\ep7\text\takano_1_j.png
takano_2,external\ps3\ep7\text\takano_2.png
takano_2_j,external\ps3\ep7\text\takano_2_j.png
takano_3,external\ps3\ep7\text\takano_3.png
takano_3_j,external\ps3\ep7\text\takano_3_j.png
takano_4,external\ps3\ep7\text\takano_4.png
takano_4_j,external\ps3\ep7\text\takano_4_j.png
takano_5,external\ps3\ep7\text\takano_5.png
takano_5_j,external\ps3\ep7\text\takano_5_j.png
takano_6,external\ps3\ep7\text\takano_6.png
takano_6_j,external\ps3\ep7\text\takano_6_j.png
takano_7,external\ps3\ep7\text\takano_7.png
takano_7_j,external\ps3\ep7\text\takano_7_j.png
takano_8,external\ps3\ep7\text\takano_8.png
takano_8_j,external\ps3\ep7\text\takano_8_j.png
tata001,external\ps3\ep3\tips\tata001.png
tata001_j,external\ps3\ep3\tips\tata001_j.png
tata002,external\ps3\ep3\tips\tata002.png
tata002_j,external\ps3\ep3\tips\tata002_j.png
tata003,external\ps3\ep3\tips\tata003.png
tata003_j,external\ps3\ep3\tips\tata003_j.png
tata004,external\ps3\ep3\tips\tata004.png
tata004_j,external\ps3\ep3\tips\tata004_j.png
tata005,external\ps3\ep3\tips\tata005.png
tata005_j,external\ps3\ep3\tips\tata005_j.png
tata008,external\ps3\ep3\tips\tata008.png
tata008_j,external\ps3\ep3\tips\tata008_j.png
tata009,external\ps3\ep3\tips\tata009.png
tata009_j,external\ps3\ep3\tips\tata009_j.png
tata010_02,external\ps3\ep3\tips\tata010_02.png
tata010_02_j,external\ps3\ep3\tips\tata010_02_j.png
tata010_04,external\ps3\ep3\tips\tata010_04.png
tata010_04_j,external\ps3\ep3\tips\tata010_04_j.png
tata011_03,external\ps3\ep3\tips\tata011_03.png
tata011_03_j,external\ps3\ep3\tips\tata011_03_j.png
tata012,external\ps3\ep3\tips\tata012.png
tata012_j,external\ps3\ep3\tips\tata012_j.png
tata013_02,external\ps3\ep3\tips\tata013_02.png
